id,name,datetime,year,month,day,hour,record_identifier,latitude,longitude,status,category,max_wind,min_pressure,ts_diameter,hu_diameter,storm_id,dur_track,dur_type,tc_dur_track,tc_dur_type,unname_label,max_category,max_status_label,max_max_wind,min_min_pressure,max_ts_diameter,max_hu_diamter
AL082004,Hermine,2004-08-31T06:00:00Z,2004,8,31,6,L,41.5,-70.9,tropical storm,0,35,1012,28.769499999999997,0,Hermine-2004,3.75,L,1.75,S,yes,0,TRUE,50,1002,143.8475,0
AL072005,Gert,2005-07-25T00:00:00Z,2005,7,25,0,L,21.8,-97.6,tropical storm,0,40,1005,172.617,0,Gert-2005,2,S,0.75,S,yes,0,TRUE,40,1005,172.617,0
AL272005,Beta,2005-10-30T12:00:00Z,2005,10,30,12,L,12.9,-83.5,tropical hurricane,2,90,970,115.07799999999999,34.523399999999995,Beta-2005,4.25,L,3.5,L,yes,3,FALSE,100,962,126.58579999999999,34.523399999999995
AL012008,Arthur,2008-05-31T09:00:00Z,2008,5,31,9,L,17.9,-88.2,tropical storm,0,40,1004,230.15599999999998,0,Arthur-2008,2,S,1.25,S,yes,0,TRUE,40,1004,258.9255,0
AL022008,Bertha,2008-07-07T21:00:00Z,2008,7,7,21,I,20.3,-51.9,tropical hurricane,3,110,952,184.1248,23.0156,Bertha-2008,18,L,16.75,L,yes,3,TRUE,110,952,379.75739999999996,86.3085
AL042008,Dolly,2008-07-21T05:00:00Z,2008,7,21,5,L,20.8,-87,tropical storm,0,45,1007,345.234,0,Dolly-2008,6.5,L,4.25,L,yes,2,FALSE,85,963,345.234,57.538999999999994
AL042008,Dolly,2008-07-23T14:00:00Z,2008,7,23,14,I,26,-96.8,tropical hurricane,2,85,963,253.17159999999998,46.0312,Dolly-2008,6.5,L,4.25,L,yes,2,TRUE,85,963,345.234,57.538999999999994
AL042008,Dolly,2008-07-23T18:00:00Z,2008,7,23,18,L,26.4,-97.2,tropical hurricane,1,75,967,189.87869999999998,57.538999999999994,Dolly-2008,6.5,L,4.25,L,yes,2,FALSE,85,963,345.234,57.538999999999994
AL042008,Dolly,2008-07-23T20:00:00Z,2008,7,23,20,L,26.4,-97.4,tropical hurricane,1,70,967,189.87869999999998,57.538999999999994,Dolly-2008,6.5,L,4.25,L,yes,2,FALSE,85,963,345.234,57.538999999999994
AL052008,Edouard,2008-08-05T12:00:00Z,2008,8,5,12,L,29.6,-94.2,tropical storm,0,55,996,120.83189999999999,0,Edouard-2008,3.25,L,1.75,S,yes,0,TRUE,55,996,138.09359999999998,0
AL072008,Gustav,2008-08-26T18:00:00Z,2008,8,26,18,L,18.1,-72.8,tropical hurricane,1,70,992,86.3085,17.261699999999998,Gustav-2008,11.5,L,7.75,L,yes,4,FALSE,135,941,414.28079999999994,126.58579999999999
AL072008,Gustav,2008-08-28T18:00:00Z,2008,8,28,18,L,18,-76.2,tropical storm,0,60,984,115.07799999999999,0,Gustav-2008,11.5,L,7.75,L,yes,4,FALSE,135,941,414.28079999999994,126.58579999999999
AL072008,Gustav,2008-08-29T02:00:00Z,2008,8,29,2,L,17.9,-77.2,tropical storm,0,60,987,149.60139999999998,0,Gustav-2008,11.5,L,7.75,L,yes,4,FALSE,135,941,414.28079999999994,126.58579999999999
AL072008,Gustav,2008-08-30T18:00:00Z,2008,8,30,18,L,21.6,-82.5,tropical hurricane,4,125,943,276.18719999999996,97.8163,Gustav-2008,11.5,L,7.75,L,yes,4,TRUE,135,941,414.28079999999994,126.58579999999999
AL072008,Gustav,2008-08-30T22:00:00Z,2008,8,30,22,L,22.4,-83.1,tropical hurricane,4,135,941,287.695,92.0624,Gustav-2008,11.5,L,7.75,L,yes,4,TRUE,135,941,414.28079999999994,126.58579999999999
AL072008,Gustav,2008-09-01T15:00:00Z,2008,9,1,15,L,29.2,-90.7,tropical hurricane,2,90,954,362.4957,92.0624,Gustav-2008,11.5,L,7.75,L,yes,4,FALSE,135,941,414.28079999999994,126.58579999999999
AL082008,Hanna,2008-09-02T00:00:00Z,2008,9,2,0,L,21.8,-72.3,tropical hurricane,1,75,977,287.695,46.0312,Hanna-2008,11.5,L,9.5,L,yes,1,TRUE,75,977,494.83539999999994,69.04679999999999
AL082008,Hanna,2008-09-03T19:00:00Z,2008,9,3,19,L,21.7,-71.8,tropical storm,0,50,994,460.31199999999995,0,Hanna-2008,11.5,L,9.5,L,yes,1,FALSE,75,977,494.83539999999994,69.04679999999999
AL082008,Hanna,2008-09-06T07:00:00Z,2008,9,6,7,L,33.8,-78.7,tropical storm,0,60,981,287.695,0,Hanna-2008,11.5,L,9.5,L,yes,1,FALSE,75,977,494.83539999999994,69.04679999999999
AL092008,Ike,2008-09-07T13:00:00Z,2008,9,7,13,L,21,-73.2,tropical hurricane,3,110,947,281.9411,103.57019999999999,Ike-2008,14.25,L,12.75,L,yes,4,FALSE,125,935,483.32759999999996,195.6326
AL092008,Ike,2008-09-08T02:00:00Z,2008,9,8,2,L,21.1,-75.7,tropical hurricane,4,115,945,304.95669999999996,103.57019999999999,Ike-2008,14.25,L,12.75,L,yes,4,TRUE,125,935,483.32759999999996,195.6326
AL092008,Ike,2008-09-09T14:00:00Z,2008,9,9,14,L,22.6,-82.9,tropical hurricane,1,70,965,374.0035,34.523399999999995,Ike-2008,14.25,L,12.75,L,yes,4,FALSE,125,935,483.32759999999996,195.6326
AL092008,Ike,2008-09-13T07:00:00Z,2008,9,13,7,L,29.3,-94.7,tropical hurricane,2,95,950,402.77299999999997,189.87869999999998,Ike-2008,14.25,L,12.75,L,yes,4,FALSE,125,935,483.32759999999996,195.6326
AL112008,Kyle,2008-09-29T00:00:00Z,2008,9,29,0,L,43.8,-66.2,tropical hurricane,1,65,985,368.2496,126.58579999999999,Kyle-2008,5.5,L,3.75,L,yes,1,TRUE,75,984,368.2496,132.3397
AL132008,Marco,2008-10-07T12:00:00Z,2008,10,7,12,L,19.9,-96.5,tropical storm,0,55,998,34.523399999999995,0,Marco-2008,1.75,S,1,S,yes,0,TRUE,55,998,34.523399999999995,0
AL172008,Paloma,2008-11-09T01:00:00Z,2008,11,9,1,L,20.7,-78,tropical hurricane,2,85,970,149.60139999999998,34.523399999999995,Paloma-2008,8.5,L,3.25,L,yes,4,FALSE,125,944,207.14039999999997,57.538999999999994
AL032009,Bill,2009-08-24T02:00:00Z,2009,8,24,2,S,46.8,-56.4,tropical storm,0,60,974,535.1126999999999,0,Bill-2009,10.75,L,8.5,L,yes,4,FALSE,115,943,535.1126999999999,155.3553
AL032009,Bill,2009-08-24T03:00:00Z,2009,8,24,3,L,46.9,-56,tropical storm,0,60,976,535.1126999999999,0,Bill-2009,10.75,L,8.5,L,yes,4,FALSE,115,943,535.1126999999999,155.3553
AL052009,Danny,2009-08-26T09:00:00Z,2009,8,26,9,G,24.3,-69.6,tropical storm,0,40,1009,276.18719999999996,0,Danny-2009,2.625,L,2.625,L,yes,0,TRUE,50,1006,327.97229999999996,0
AL112009,Ida,2009-11-05T12:00:00Z,2009,11,5,12,L,12.9,-83.6,tropical hurricane,1,70,985,115.07799999999999,23.0156,Ida-2009,7,L,5.75,L,yes,2,FALSE,90,975,287.695,51.78509999999999
AL112009,Ida,2009-11-09T21:00:00Z,2009,11,9,21,W,28.5,-88.7,tropical hurricane,1,75,990,287.695,23.0156,Ida-2009,7,L,5.75,L,yes,2,FALSE,90,975,287.695,51.78509999999999
AL012010,Alex,2010-06-27T00:00:00Z,2010,6,27,0,L,17.5,-88.2,tropical storm,0,55,995,138.09359999999998,0,Alex-2010,7.25,L,5.5,L,yes,2,FALSE,95,946,356.74179999999996,74.80069999999999
AL012010,Alex,2010-06-30T15:00:00Z,2010,6,30,15,T,24,-95.5,tropical hurricane,1,75,958,322.2184,74.80069999999999,Alex-2010,7.25,L,5.5,L,yes,2,FALSE,95,946,356.74179999999996,74.80069999999999
AL012010,Alex,2010-07-01T02:00:00Z,2010,7,1,2,L,24.2,-97.7,tropical hurricane,2,95,946,345.234,74.80069999999999,Alex-2010,7.25,L,5.5,L,yes,2,TRUE,95,946,356.74179999999996,74.80069999999999
AL032010,Bonnie,2010-07-22T23:00:00Z,2010,7,22,23,L,23,-75.7,tropical storm,0,35,1006,34.523399999999995,0,Bonnie-2010,3.5,L,0.625,S,yes,0,TRUE,40,1005,103.57019999999999,0
AL032010,Bonnie,2010-07-23T05:00:00Z,2010,7,23,5,L,23.7,-77.5,tropical storm,0,40,1005,80.5546,0,Bonnie-2010,3.5,L,0.625,S,yes,0,TRUE,40,1005,103.57019999999999,0
AL032010,Bonnie,2010-07-23T14:00:00Z,2010,7,23,14,L,25.4,-80.2,tropical storm,0,35,1007,92.0624,0,Bonnie-2010,3.5,L,0.625,S,yes,0,TRUE,40,1005,103.57019999999999,0
AL042010,Colin,2010-08-05T21:00:00Z,2010,8,5,21,I,25,-66.1,tropical storm,0,50,1005,103.57019999999999,0,Colin-2010,5.75,L,4.5,L,yes,0,TRUE,50,1005,103.57019999999999,0
AL072010,Earl,2010-09-04T15:00:00Z,2010,9,4,15,L,44.3,-64.5,tropical hurricane,1,65,962,379.75739999999996,69.04679999999999,Earl-2010,13,L,10.291666666666666,L,yes,4,FALSE,125,927,460.31199999999995,149.60139999999998
AL072010,Earl,2010-09-04T19:00:00Z,2010,9,4,19,L,46,-62.7,tropical storm,0,60,967,379.75739999999996,0,Earl-2010,13,L,10.291666666666666,L,yes,4,FALSE,125,927,460.31199999999995,149.60139999999998
AL102010,Hermine,2010-09-07T02:00:00Z,2010,9,7,2,L,25.3,-97.4,tropical storm,0,60,989,126.58579999999999,0,Hermine-2010,5.25,L,1.5,S,yes,0,TRUE,60,989,138.09359999999998,0
AL112010,Igor,2010-09-21T15:00:00Z,2010,9,21,15,L,46.6,-53.2,tropical hurricane,1,75,950,863.0849999999999,155.3553,Igor-2010,14.75,L,13.125,L,yes,4,FALSE,135,924,863.0849999999999,172.617
AL132010,Karl,2010-09-15T12:00:00Z,2010,9,15,12,L,18.5,-87.8,tropical storm,0,55,991,86.3085,0,Karl-2010,4.5,L,3.25,L,yes,3,FALSE,110,956,184.1248,40.2773
AL132010,Karl,2010-09-17T15:00:00Z,2010,9,17,15,T,19.4,-96,tropical hurricane,3,110,970,172.617,40.2773,Karl-2010,4.5,L,3.25,L,yes,3,TRUE,110,956,184.1248,40.2773
AL132010,Karl,2010-09-17T16:00:00Z,2010,9,17,16,L,19.3,-96.2,tropical hurricane,3,100,976,172.617,40.2773,Karl-2010,4.5,L,3.25,L,yes,3,TRUE,110,956,184.1248,40.2773
AL142010,Lisa,2010-09-24T21:00:00Z,2010,9,24,21,S,20,-27.7,tropical hurricane,1,65,988,92.0624,23.0156,Lisa-2010,9,L,5.25,L,yes,1,TRUE,75,982,92.0624,23.0156
AL152010,Matthew,2010-09-24T19:00:00Z,2010,9,24,19,L,14.7,-83.3,tropical storm,0,50,998,172.617,0,Matthew-2010,3.25,L,1.875,S,yes,0,TRUE,50,998,224.4021,0
AL152010,Matthew,2010-09-25T15:00:00Z,2010,9,25,15,L,16.5,-88.4,tropical storm,0,35,1000,138.09359999999998,0,Matthew-2010,3.25,L,1.875,S,yes,0,TRUE,50,998,224.4021,0
AL182010,Paula,2010-10-11T12:00:00Z,2010,10,11,12,L,15,-83.2,tropical storm,0,45,1004,86.3085,0,Paula-2010,4.75,L,3.75,L,yes,2,FALSE,90,981,109.32409999999999,40.2773
AL182010,Paula,2010-10-14T15:00:00Z,2010,10,14,15,L,22.7,-83.9,tropical storm,0,55,1000,103.57019999999999,0,Paula-2010,4.75,L,3.75,L,yes,2,FALSE,90,981,109.32409999999999,40.2773
AL192010,Richard,2010-10-25T00:00:00Z,2010,10,25,0,L,17.2,-88.3,tropical hurricane,2,85,977,161.1092,28.769499999999997,Richard-2010,6.75,L,4,L,yes,2,TRUE,85,977,161.1092,28.769499999999997
AL212010,Tomas,2010-10-30T09:00:00Z,2010,10,30,9,L,13,-59.5,tropical storm,0,60,997,161.1092,0,Tomas-2010,12.5,L,9.25,L,yes,2,FALSE,85,982,258.9255,46.0312
AL212010,Tomas,2010-10-30T20:00:00Z,2010,10,30,20,L,13.4,-61.2,tropical hurricane,2,85,987,195.6326,23.0156,Tomas-2010,12.5,L,9.25,L,yes,2,TRUE,85,982,258.9255,46.0312
AL212010,Tomas,2010-11-06T07:00:00Z,2010,11,6,7,L,21.7,-71.6,tropical storm,0,60,992,172.617,0,Tomas-2010,12.5,L,9.25,L,yes,2,FALSE,85,982,258.9255,46.0312
AL012011,Arlene,2011-06-30T13:00:00Z,2011,6,30,13,L,21.6,-97.4,tropical storm,0,55,993,230.15599999999998,0,Arlene-2011,2.75,L,2,S,yes,0,TRUE,55,993,230.15599999999998,0
AL132011,Lee,2011-09-04T09:00:00Z,2011,9,4,9,T,29.5,-92.2,subtropical storm,0,40,986,408.52689999999996,0,Lee-2011,4.75,L,2.5,L,yes,0,TRUE,50,986,408.52689999999996,0
AL132011,Lee,2011-09-04T10:00:00Z,2011,9,4,10,L,29.6,-92.1,subtropical storm,0,40,986,408.52689999999996,0,Lee-2011,4.75,L,2.5,L,yes,0,TRUE,50,986,408.52689999999996,0
AL142011,Maria,2011-09-16T18:00:00Z,2011,9,16,18,L,47,-53.5,tropical storm,0,60,983,414.28079999999994,0,Maria-2011,10,L,9.75,L,yes,1,FALSE,70,983,414.28079999999994,69.04679999999999
AL152011,Nate,2011-09-11T16:00:00Z,2011,9,11,16,L,20.5,-97,tropical storm,0,40,1006,103.57019999999999,0,Nate-2011,5.25,L,4,L,yes,1,FALSE,65,994,224.4021,46.0312
AL182011,Rina,2011-10-28T02:00:00Z,2011,10,28,2,L,20.5,-87.2,tropical storm,0,50,996,115.07799999999999,0,Rina-2011,7.25,L,4.5,L,yes,3,FALSE,100,966,207.14039999999997,51.78509999999999
AL022012,Beryl,2012-05-27T23:00:00Z,2012,5,27,23,I,30.1,-80.5,tropical storm,0,60,992,207.14039999999997,0,Beryl-2012,7.5,L,4.5,L,yes,0,TRUE,60,992,230.15599999999998,0
AL022012,Beryl,2012-05-28T04:00:00Z,2012,5,28,4,L,30.2,-81.4,tropical storm,0,55,994,207.14039999999997,0,Beryl-2012,7.5,L,4.5,L,yes,0,TRUE,60,992,230.15599999999998,0
AL042012,Debby,2012-06-26T21:00:00Z,2012,6,26,21,L,29.3,-83.2,tropical storm,0,35,995,207.14039999999997,0,Debby-2012,4,L,3.375,L,yes,0,TRUE,55,990,356.74179999999996,0
AL052012,Ernesto,2012-08-08T01:00:00Z,2012,8,8,1,L,18.7,-87.2,tropical hurricane,1,80,977,241.66379999999998,34.523399999999995,Ernesto-2012,8.75,L,7.5,L,yes,2,FALSE,85,973,241.66379999999998,34.523399999999995
AL052012,Ernesto,2012-08-08T03:00:00Z,2012,8,8,3,L,18.8,-87.7,tropical hurricane,2,85,973,241.66379999999998,34.523399999999995,Ernesto-2012,8.75,L,7.5,L,yes,2,TRUE,85,973,241.66379999999998,34.523399999999995
AL052012,Ernesto,2012-08-09T16:00:00Z,2012,8,9,16,L,18.3,-94.6,tropical storm,0,55,989,172.617,0,Ernesto-2012,8.75,L,7.5,L,yes,2,FALSE,85,973,241.66379999999998,34.523399999999995
AL082012,Gordon,2012-08-20T05:00:00Z,2012,8,20,5,L,37,-25.1,tropical hurricane,1,65,984,195.6326,57.538999999999994,Gordon-2012,6,L,4.5,L,yes,2,FALSE,95,965,218.64819999999997,57.538999999999994
AL092012,Isaac,2012-08-25T06:00:00Z,2012,8,25,6,L,18.3,-72.7,tropical storm,0,55,991,333.72619999999995,0,Isaac-2012,11.75,L,9,L,yes,1,FALSE,70,965,402.77299999999997,69.04679999999999
AL092012,Isaac,2012-08-25T15:00:00Z,2012,8,25,15,L,20.1,-74.5,tropical storm,0,50,997,299.20279999999997,0,Isaac-2012,11.75,L,9,L,yes,1,FALSE,70,965,402.77299999999997,69.04679999999999
AL092012,Isaac,2012-08-29T00:00:00Z,2012,8,29,0,L,28.9,-89.4,tropical hurricane,1,70,967,379.75739999999996,69.04679999999999,Isaac-2012,11.75,L,9,L,yes,1,TRUE,70,965,402.77299999999997,69.04679999999999
AL092012,Isaac,2012-08-29T03:00:00Z,2012,8,29,3,T,29,-89.7,tropical hurricane,1,70,965,379.75739999999996,69.04679999999999,Isaac-2012,11.75,L,9,L,yes,1,TRUE,70,965,402.77299999999997,69.04679999999999
AL092012,Isaac,2012-08-29T08:00:00Z,2012,8,29,8,L,29.2,-90.2,tropical hurricane,1,70,966,379.75739999999996,57.538999999999994,Isaac-2012,11.75,L,9,L,yes,1,TRUE,70,965,402.77299999999997,69.04679999999999
